iteration,challenge_start_epoch_ms,challenge_end_epoch_ms,ticket_issuance_latency_ms,challenge_status,token_exchange_start_epoch_ms,token_exchange_end_epoch_ms,token_denial_latency_ms,token_status,denial_correctness
1,1776698851601,1776698851823,221.266,401,1776698851823,1776698852041,218.550,403,true
2,1776698852041,1776698852265,223.960,401,1776698852265,1776698852482,216.973,403,true
3,1776698852483,1776698852706,223.599,401,1776698852706,1776698852924,217.900,403,true
4,1776698852924,1776698853147,222.780,401,1776698853147,1776698853366,218.663,403,true
5,1776698853366,1776698853589,223.490,401,1776698853589,1776698853806,216.237,403,true
6,1776698853806,1776698854028,221.875,401,1776698854028,1776698854249,221.611,403,true
7,1776698854250,1776698854474,224.740,401,1776698854474,1776698854691,217.082,403,true
8,1776698854692,1776698854919,227.080,401,1776698854919,1776698855139,220.599,403,true
9,1776698855139,1776698855364,225.043,401,1776698855365,1776698855581,216.510,403,true
10,1776698855581,1776698855805,223.605,401,1776698855805,1776698856021,216.275,403,true
11,1776698856021,1776698856245,223.460,401,1776698856245,1776698856466,221.480,403,true
12,1776698856466,1776698856699,232.487,401,1776698856699,1776698856942,243.239,403,true
13,1776698856942,1776698857174,231.372,401,1776698857174,1776698857394,220.338,403,true
14,1776698857394,1776698857621,227.050,401,1776698857621,1776698857839,218.043,403,true
15,1776698857839,1776698858075,235.448,401,1776698858075,1776698858298,223.480,403,true
16,1776698858298,1776698858548,249.641,401,1776698858548,1776698858774,225.530,403,true
17,1776698858774,1776698858999,225.510,401,1776698858999,1776698859219,219.901,403,true
18,1776698859219,1776698859445,225.936,401,1776698859445,1776698859668,223.257,403,true
19,1776698859668,1776698859897,228.849,401,1776698859897,1776698860115,217.474,403,true
20,1776698860115,1776698860343,227.623,401,1776698860343,1776698860565,221.949,403,true
21,1776698860565,1776698860795,230.944,401,1776698860796,1776698861019,223.741,403,true
22,1776698861019,1776698861249,229.186,401,1776698861249,1776698861488,239.226,403,true
23,1776698861488,1776698861719,231.648,401,1776698861720,1776698861939,218.981,403,true
24,1776698861939,1776698862163,224.783,401,1776698862163,1776698862385,221.461,403,true
25,1776698862385,1776698862617,231.537,401,1776698862617,1776698862840,223.758,403,true
