iteration,challenge_start_epoch_ms,challenge_end_epoch_ms,challenge_latency_ms,challenge_status,token_exchange_start_epoch_ms,token_exchange_end_epoch_ms,token_exchange_latency_ms,token_status,final_get_start_epoch_ms,final_get_end_epoch_ms,protected_get_latency_ms,protected_get_status,total_grant_path_latency_ms,success
1,1776698840069,1776698840397,327.530,401,1776698840398,1776698840628,229.894,200,1776698840628,1776698840641,13.377,200,572.000,true
2,1776698840641,1776698840867,225.754,401,1776698840868,1776698841086,218.176,200,1776698841086,1776698841096,9.644,200,455.000,true
3,1776698841096,1776698841335,238.757,401,1776698841335,1776698841555,219.745,200,1776698841555,1776698841566,11.283,200,470.000,true
4,1776698841566,1776698841801,235.147,401,1776698841802,1776698842021,219.929,200,1776698842022,1776698842032,10.009,200,466.000,true
5,1776698842032,1776698842255,223.603,401,1776698842255,1776698842474,218.395,200,1776698842474,1776698842484,9.929,200,452.000,true
6,1776698842484,1776698842720,236.137,401,1776698842720,1776698842937,216.885,200,1776698842937,1776698842946,9.264,200,462.000,true
7,1776698842946,1776698843169,222.707,401,1776698843169,1776698843401,232.498,200,1776698843401,1776698843410,8.751,200,464.000,true
8,1776698843410,1776698843640,229.716,401,1776698843640,1776698843882,242.078,200,1776698843882,1776698843890,7.785,200,480.000,true
9,1776698843890,1776698844117,226.934,401,1776698844117,1776698844339,222.077,200,1776698844339,1776698844347,7.992,200,457.000,true
10,1776698844347,1776698844571,223.610,401,1776698844571,1776698844792,221.394,200,1776698844792,1776698844802,9.156,200,455.000,true
11,1776698844802,1776698845026,224.814,401,1776698845027,1776698845243,215.826,200,1776698845243,1776698845251,8.460,200,449.000,true
12,1776698845251,1776698845484,232.830,401,1776698845484,1776698845700,216.305,200,1776698845700,1776698845709,8.164,200,458.000,true
13,1776698845709,1776698845931,222.314,401,1776698845931,1776698846148,217.214,200,1776698846148,1776698846158,9.320,200,449.000,true
14,1776698846158,1776698846382,224.164,401,1776698846382,1776698846604,222.526,200,1776698846604,1776698846613,8.269,200,455.000,true
15,1776698846613,1776698846835,222.089,401,1776698846835,1776698847052,217.347,200,1776698847052,1776698847062,9.296,200,449.000,true
16,1776698847062,1776698847286,224.495,401,1776698847286,1776698847505,218.784,200,1776698847505,1776698847515,9.577,200,453.000,true
17,1776698847515,1776698847738,222.788,401,1776698847738,1776698847956,218.491,200,1776698847956,1776698847964,8.193,200,449.000,true
18,1776698847965,1776698848190,225.248,401,1776698848190,1776698848409,219.192,200,1776698848409,1776698848418,8.400,200,453.000,true
19,1776698848418,1776698848638,220.675,401,1776698848638,1776698848869,230.837,200,1776698848869,1776698848878,8.566,200,460.000,true
20,1776698848878,1776698849110,232.031,401,1776698849110,1776698849327,217.216,200,1776698849327,1776698849336,8.826,200,458.000,true
21,1776698849336,1776698849559,222.836,401,1776698849559,1776698849777,217.677,200,1776698849777,1776698849785,8.461,200,449.000,true
22,1776698849785,1776698850025,239.523,401,1776698850025,1776698850241,216.344,200,1776698850241,1776698850250,8.845,200,465.000,true
23,1776698850250,1776698850474,223.412,401,1776698850474,1776698850691,217.442,200,1776698850691,1776698850701,9.423,200,451.000,true
24,1776698850701,1776698850924,223.276,401,1776698850924,1776698851143,219.083,200,1776698851143,1776698851152,8.709,200,451.000,true
25,1776698851152,1776698851376,223.872,401,1776698851376,1776698851592,216.204,200,1776698851592,1776698851601,9.053,200,449.000,true
